customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,salesRepEmployeeNumber_Scalled
46,121,7,37,11,87,7,24,4,86,27,9,59,0.6428571428571428
47,2,84,7,98,0,17,88,1,34,7,7,23,0.5
48,70,65,88,60,100,17,28,1,52,8,8,0,0.5714285714285714
49,4,0,78,45,116,17,87,1,10,12,8,76,0.5714285714285714
50,66,23,20,24,31,17,70,1,62,7,6,28,0.42857142857142855
51,13,100,21,84,56,17,91,1,63,7,7,39,0.5
52,112,77,38,47,102,17,39,1,45,8,10,83,0.7142857142857142
53,94,60,29,15,22,17,89,0,89,4,5,53,0.3571428571428571
54,45,31,83,64,75,17,59,1,66,8,8,0,0.5714285714285714
55,5,72,6,46,21,10,67,8,24,1,11,74,0.7857142857142857
56,93,85,35,53,115,17,6,1,28,12,8,82,0.5714285714285714
57,103,43,0,34,104,4,22,8,25,1,11,58,0.7857142857142857
58,68,40,63,103,40,17,19,5,48,29,3,86,0.21428571428571427
59,16,37,26,30,107,17,29,1,19,26,8,0,0.5714285714285714
60,116,41,74,65,90,17,30,1,13,26,14,90,1.0
61,82,50,41,31,82,14,68,1,84,17,10,63,0.7142857142857142
62,100,90,11,23,96,17,2,1,11,14,8,0,0.5714285714285714
63,35,2,71,51,105,17,8,1,14,8,8,0,0.5714285714285714
64,86,52,85,120,114,17,69,1,70,6,9,55,0.6428571428571428
65,87,25,17,1,108,17,15,1,79,3,8,40,0.5714285714285714
66,74,34,95,119,39,17,94,10,27,29,5,70,0.3571428571428571
67,75,42,107,94,44,17,64,5,44,29,2,61,0.14285714285714285
68,29,11,50,107,62,17,78,1,75,29,0,73,0.0
69,39,36,75,37,11,11,4,1,9,15,12,52,0.8571428571428571
70,105,11,5,7,36,17,45,1,93,27,9,36,0.6428571428571428
71,109,11,106,68,59,17,66,7,74,29,5,8,0.3571428571428571
72,12,12,10,96,35,17,83,14,36,1,11,14,0.7857142857142857
73,106,96,53,28,110,16,27,1,82,6,9,68,0.6428571428571428
74,31,21,84,58,101,17,11,1,17,8,8,0,0.5714285714285714
75,24,16,31,80,63,17,72,12,59,29,2,41,0.14285714285714285
76,21,28,47,25,103,1,49,1,30,24,14,20,1.0
77,69,17,13,79,53,17,46,1,71,29,1,18,0.07142857142857142
78,8,62,80,83,66,17,23,3,9,10,8,0,0.5714285714285714
79,67,56,58,118,6,17,53,1,16,7,6,25,0.42857142857142855
80,92,39,81,82,51,17,74,1,47,7,6,41,0.42857142857142855
81,96,53,8,22,8,17,34,13,1,23,8,0,0.5714285714285714
82,51,61,104,106,16,17,3,1,9,15,12,38,0.8571428571428571
83,59,45,54,49,98,17,60,1,41,8,8,0,0.5714285714285714
84,50,105,51,104,68,17,10,5,46,29,3,7,0.21428571428571427
85,83,106,25,95,23,17,63,6,53,28,3,77,0.21428571428571427
86,65,82,60,3,94,17,43,1,18,20,8,0,0.5714285714285714
87,89,102,12,56,92,17,9,1,33,26,14,0,1.0
88,28,71,4,103,64,17,12,5,50,28,2,31,0.14285714285714285
89,95,14,79,2,76,17,21,1,80,3,8,4,0.5714285714285714
90,97,79,34,110,88,17,76,1,43,2,8,32,0.5714285714285714
91,32,22,9,36,10,13,50,1,15,18,13,43,0.9285714285714285
92,61,67,70,57,111,17,73,1,39,12,8,85,0.5714285714285714
93,111,92,1,43,19,17,56,16,12,13,13,60,0.9285714285714285
94,14,75,24,6,27,17,70,1,61,7,6,62,0.42857142857142855
95,104,69,89,63,71,17,86,1,58,8,8,0,0.5714285714285714
96,43,63,93,55,2,9,93,1,9,15,12,51,0.8571428571428571
97,18,26,72,0,91,17,58,1,65,8,10,36,0.7142857142857142
98,25,40,61,77,52,20,61,10,9,28,4,27,0.2857142857142857
99,44,29,3,52,93,17,41,1,5,8,8,0,0.5714285714285714
100,49,59,19,70,25,17,32,2,76,28,5,13,0.3571428571428571
101,99,55,64,61,121,17,16,1,87,25,10,79,0.7142857142857142
102,110,34,96,90,34,17,79,1,75,28,0,37,0.0
103,72,64,91,113,97,17,33,1,64,2,8,11,0.5714285714285714
104,107,68,59,72,49,17,65,2,78,28,4,64,0.2857142857142857
105,71,18,109,74,46,18,61,10,9,28,4,6,0.2857142857142857
106,30,95,66,16,79,17,49,1,30,24,14,72,1.0
107,119,74,98,48,118,17,0,1,49,8,8,0,0.5714285714285714
108,47,6,103,93,13,17,64,5,44,28,3,50,0.21428571428571427
109,6,3,16,26,119,17,49,1,30,24,8,0,0.5714285714285714
110,10,20,94,97,58,17,31,17,35,1,11,22,0.7857142857142857
111,46,81,32,29,20,5,55,1,9,12,8,5,0.5714285714285714
112,120,99,95,87,38,17,17,1,74,28,1,17,0.07142857142857142
113,78,66,36,59,86,17,52,1,55,8,8,0,0.5714285714285714
114,60,91,3,41,17,17,75,1,22,21,8,0,0.5714285714285714
115,91,1,86,21,33,17,36,1,42,11,8,0,0.5714285714285714
116,56,83,49,20,81,17,81,1,38,24,14,26,1.0
117,79,87,92,81,4,17,72,12,59,28,5,34,0.3571428571428571
118,101,98,96,92,32,17,14,1,75,28,0,22,0.0
119,38,93,99,10,7,17,45,1,91,27,9,9,0.6428571428571428
120,37,30,101,99,54,17,10,5,46,28,2,49,0.14285714285714285
121,57,94,100,38,72,17,4,1,9,15,12,75,0.8571428571428571
